order_id,num_products,days_since_prior_order
4,13,7
9,15,5
11,5,23
19,3,13
20,8,0
31,10,14
48,8,30
56,10,2
61,12,7
68,9,30
75,16,0
80,7,7
81,11,9
83,14,20
99,7,11
114,10,0
131,18,2
142,7,9
143,25,7
148,14,5
178,2,19
185,10,2
191,5,6
195,25,15
196,10,24
214,9,9
225,11,22
231,24,30
234,10,9
239,18,9
250,2,17
253,3,7
258,15,30
264,4,21
272,20,4
278,6,30
279,15,21
291,8,6
306,17,10
310,14,10
315,38,3
323,12,7
326,17,7
332,6,7
334,7,20
338,26,5
341,1,19
348,4,8
363,7,7
369,4,0
375,8,1
387,11,14
388,25,8
389,2,5
401,3,6
406,22,19
408,15,14
417,5,17
423,18,7
424,2,27
442,9,13
457,16,30
464,27,3
466,10,6
472,6,1
479,7,16
481,5,8
488,7,4
500,5,22
505,5,30
507,5,15
512,4,2
519,2,30
520,9,0
521,10,3
527,13,10
529,25,30
530,2,5
543,3,0
545,2,1
548,1,0
549,36,8
559,12,16
569,5,7
574,11,6
580,7,5
588,13,6
611,9,5
623,11,3
636,10,3
652,4,9
654,11,7
659,5,7
661,21,30
675,7,5
683,12,30
693,1,7
696,9,3
702,1,3
710,7,0
711,23,17
713,3,7
716,2,8
721,1,13
731,10,1
738,11,9
742,45,10
757,5,16
760,2,3
771,31,7
779,2,5
793,8,12
798,9,2
803,14,7
810,16,3
812,9,0
816,3,1
828,5,6
839,4,7
840,6,1
849,3,3
850,2,18
864,12,8
867,4,1
883,17,7
888,18,12
931,5,6
939,3,7
942,6,4
947,2,8
948,18,7
951,12,8
962,15,6
971,5,6
997,6,15
1004,7,8
1009,24,3
1011,5,21
1015,13,7
1033,9,4
1035,7,10
1038,17,13
1039,9,2
1041,7,10
1046,2,30
1048,6,4
1059,8,1
1061,6,1
1063,1,10
1069,7,6
1070,1,1
1073,15,11
1096,6,7
1114,12,8
1115,33,30
1125,5,3
1126,8,5
1129,5,21
1133,26,27
1141,17,0
1142,13,16
1146,4,5
1147,1,30
1157,7,15
1158,15,7
1168,8,30
1178,6,4
1181,2,10
1193,16,9
1196,20,13
1198,12,8
1204,7,3
1229,7,26
1232,11,28
1234,4,1
1242,26,5
1244,5,9
1249,7,6
1250,3,6
1254,13,3
1257,6,15
1267,5,28
1272,10,9
1276,13,14
1277,9,30
1282,12,8
1289,7,30
1291,4,6
1301,4,7
1322,17,11
1339,2,0
1343,13,0
1345,7,4
1346,13,13
1348,10,4
1356,5,30
1368,7,1
1372,3,14
1373,3,7
1379,19,14
1392,7,6
1397,5,6
1399,8,3
1404,4,9
1407,7,29
1409,5,4
1410,10,17
1414,9,30
1434,6,3
1437,25,30
1443,2,3
1448,13,3
1453,20,6
1454,7,2
1465,7,14
1475,5,15
1483,12,5
1488,2,0
1490,2,9
1492,18,30
1497,37,8
1505,9,27
1506,10,12
1509,52,7
1512,1,5
1515,1,9
1519,5,5
1529,10,3
1534,13,7
1544,4,0
1546,12,7
1554,2,10
1556,15,6
1580,13,6
1581,30,6
1583,1,4
1587,4,0
1607,8,1
1612,15,3
1616,5,30
1626,13,30
1640,2,3
1645,9,7
1659,4,15
1662,22,13
1665,4,30
1670,15,30
1675,13,17
1679,9,1
