add_to_cart_order,reorder_rate,product_count
1,0.6786195188936242,450046
2,0.6770590309645749,428199
3,0.6589857852687313,401907
4,0.6375110295793875,372861
5,0.617482965533181,341807
6,0.6023350673155116,309884
7,0.5867117683851811,278186
8,0.5743398392652124,247364
9,0.5628150348451959,218825
10,0.5522961627900954,193083
11,0.5417199046133011,169835
12,0.531965013484665,149429
13,0.5232561693024678,130890
14,0.5177414701948546,114393
15,0.5094024279180552,99921
16,0.5043164230438522,87225
17,0.495551742344245,75760
18,0.4916816204872411,65758
19,0.48679688595876,57032
20,0.4829016592472683,49420
21,0.4794954160707168,42649
22,0.47433014548508573,36911
23,0.4681125255382681,31815
24,0.4613952469609024,27393
25,0.46011462534493736,23555
26,0.4590789669360036,20173
27,0.44841886988076723,17361
28,0.4458833791853989,14903
29,0.4354535484881717,12766
30,0.43783933008189935,10867
31,0.42912747324035033,9249
32,0.4279762656230274,7921
33,0.42118518518518516,6750
34,0.42404732904123893,5747
35,0.4163606691146471,4902
36,0.4248102466793169,4216
37,0.40644805731606504,3629
38,0.4136494713232938,3121
39,0.41685563114134544,2646
40,0.41648303217276333,2269
41,0.4286452947259566,1934
42,0.4151057401812689,1655
43,0.4125528913963329,1418
44,0.40737704918032785,1220
45,0.41626794258373206,1045
46,0.4117647058823529,901
47,0.41612483745123535,769
48,0.3918918918918919,666
49,0.4149305555555556,576
50,0.4117647058823529,493
51,0.38461538461538464,429
52,0.40821917808219177,365
53,0.4351851851851852,324
54,0.44485294117647056,272
55,0.42436974789915966,238
56,0.3904761904761905,210
57,0.42162162162162165,185
58,0.43670886075949367,158
59,0.4583333333333333,144
60,0.47244094488188976,127
61,0.35964912280701755,114
62,0.4489795918367347,98
63,0.47126436781609193,87
64,0.4666666666666667,75
