total_reorders,total_products,repurchase_rate,repurchase_segment
1,26,0.038461538461538464,Low
0,2,0.0,Low
8,12,0.6666666666666666,High
0,4,0.0,Low
13,14,0.9285714285714286,Very High
3,15,0.2,Low
3,12,0.25,Low
13,23,0.5652173913043478,High
22,61,0.36065573770491804,Moderate
7,13,0.5384615384615384,High
17,32,0.53125,High
38,53,0.7169811320754716,High
14,48,0.2916666666666667,Moderate
0,4,0.0,Low
8,20,0.4,Moderate
6,6,1.0,Very High
1,2,0.5,Moderate
7,16,0.4375,Moderate
56,85,0.6588235294117647,High
22,44,0.5,Moderate
11,13,0.8461538461538461,Very High
0,3,0.0,Low
28,92,0.30434782608695654,Moderate
8,17,0.47058823529411764,Moderate
0,1,0.0,Low
16,33,0.48484848484848486,Moderate
20,30,0.6666666666666666,High
4,14,0.2857142857142857,Moderate
10,19,0.5263157894736842,High
15,36,0.4166666666666667,Moderate
1,7,0.14285714285714285,Low
12,33,0.36363636363636365,Moderate
7,10,0.7,High
2,6,0.3333333333333333,Moderate
51,72,0.7083333333333334,High
5,10,0.5,Moderate
51,83,0.6144578313253012,High
13,27,0.48148148148148145,Moderate
0,3,0.0,Low
5,9,0.5555555555555556,High
8,20,0.4,Moderate
8,15,0.5333333333333333,High
3,12,0.25,Low
4,9,0.4444444444444444,Moderate
25,34,0.7352941176470589,High
6,14,0.42857142857142855,Moderate
0,1,0.0,Low
9,17,0.5294117647058824,High
4,4,1.0,Very High
4,5,0.8,Very High
7,14,0.5,Moderate
21,22,0.9545454545454546,Very High
4,5,0.8,Very High
4,5,0.8,Very High
1,4,0.25,Low
37,46,0.8043478260869565,Very High
16,39,0.41025641025641024,Moderate
0,11,0.0,Low
5,20,0.25,Low
13,15,0.8666666666666667,Very High
3,7,0.42857142857142855,Moderate
25,28,0.8928571428571429,Very High
5,9,0.5555555555555556,High
14,35,0.4,Moderate
31,49,0.6326530612244898,High
1,1,1.0,Very High
14,28,0.5,Moderate
89,115,0.7739130434782608,Very High
21,41,0.5121951219512195,High
2,13,0.15384615384615385,Low
6,12,0.5,Moderate
1,1,1.0,Very High
6,8,0.75,High
11,25,0.44,Moderate
0,1,0.0,Low
14,21,0.6666666666666666,High
11,16,0.6875,High
1,1,1.0,Very High
1,3,0.3333333333333333,Moderate
2,20,0.1,Low
6,15,0.4,Moderate
0,14,0.0,Low
30,55,0.5454545454545454,High
0,8,0.0,Low
4,11,0.36363636363636365,Moderate
2,2,1.0,Very High
6,15,0.4,Moderate
0,18,0.0,Low
13,23,0.5652173913043478,High
6,9,0.6666666666666666,High
12,18,0.6666666666666666,High
2,5,0.4,Moderate
6,9,0.6666666666666666,High
4,8,0.5,Moderate
37,49,0.7551020408163265,Very High
0,16,0.0,Low
4,7,0.5714285714285714,High
8,10,0.8,Very High
67,121,0.5537190082644629,High
18,21,0.8571428571428571,Very High
25,35,0.7142857142857143,High
116,173,0.6705202312138728,High
37,51,0.7254901960784313,High
0,11,0.0,Low
4,7,0.5714285714285714,High
5,9,0.5555555555555556,High
39,47,0.8297872340425532,Very High
15,21,0.7142857142857143,High
33,68,0.4852941176470588,Moderate
29,59,0.4915254237288136,Moderate
17,56,0.30357142857142855,Moderate
105,141,0.7446808510638298,High
23,27,0.8518518518518519,Very High
68,102,0.6666666666666666,High
42,49,0.8571428571428571,Very High
5,8,0.625,High
4,8,0.5,Moderate
13,40,0.325,Moderate
14,22,0.6363636363636364,High
16,31,0.5161290322580645,High
4,11,0.36363636363636365,Moderate
27,39,0.6923076923076923,High
0,18,0.0,Low
6,18,0.3333333333333333,Moderate
0,3,0.0,Low
0,14,0.0,Low
32,66,0.48484848484848486,Moderate
12,19,0.631578947368421,High
2,9,0.2222222222222222,Low
0,5,0.0,Low
5,5,1.0,Very High
5,8,0.625,High
31,43,0.7209302325581395,High
8,18,0.4444444444444444,Moderate
5,27,0.18518518518518517,Low
1,8,0.125,Low
18,31,0.5806451612903226,High
7,45,0.15555555555555556,Low
4,10,0.4,Moderate
8,13,0.6153846153846154,High
2,5,0.4,Moderate
6,6,1.0,Very High
1,10,0.1,Low
3,11,0.2727272727272727,Moderate
17,28,0.6071428571428571,High
42,83,0.5060240963855421,High
38,67,0.5671641791044776,High
3,4,0.75,High
38,74,0.5135135135135135,High
0,5,0.0,Low
51,75,0.68,High
7,10,0.7,High
15,28,0.5357142857142857,High
1,3,0.3333333333333333,Moderate
9,13,0.6923076923076923,High
183,220,0.8318181818181818,Very High
8,17,0.47058823529411764,Moderate
5,11,0.45454545454545453,Moderate
67,98,0.6836734693877551,High
0,7,0.0,Low
44,46,0.9565217391304348,Very High
1,7,0.14285714285714285,Low
1,1,1.0,Very High
22,52,0.4230769230769231,Moderate
7,13,0.5384615384615384,High
8,14,0.5714285714285714,High
30,39,0.7692307692307693,Very High
130,161,0.8074534161490683,Very High
0,9,0.0,Low
4,9,0.4444444444444444,Moderate
37,54,0.6851851851851852,High
50,72,0.6944444444444444,High
42,43,0.9767441860465116,Very High
30,33,0.9090909090909091,Very High
37,60,0.6166666666666667,High
9,31,0.2903225806451613,Moderate
14,57,0.24561403508771928,Low
4,9,0.4444444444444444,Moderate
9,27,0.3333333333333333,Moderate
6,10,0.6,High
41,49,0.8367346938775511,Very High
6,10,0.6,High
43,57,0.7543859649122807,Very High
2,4,0.5,Moderate
0,13,0.0,Low
39,69,0.5652173913043478,High
10,19,0.5263157894736842,High
21,31,0.6774193548387096,High
0,1,0.0,Low
20,22,0.9090909090909091,Very High
1,4,0.25,Low
0,7,0.0,Low
53,68,0.7794117647058824,Very High
25,30,0.8333333333333334,Very High
4,36,0.1111111111111111,Low
5,6,0.8333333333333334,Very High
3,4,0.75,High
3,21,0.14285714285714285,Low
5,11,0.45454545454545453,Moderate
0,30,0.0,Low
10,16,0.625,High
2,7,0.2857142857142857,Moderate
30,37,0.8108108108108109,Very High
2,2,1.0,Very High
49,62,0.7903225806451613,Very High
31,48,0.6458333333333334,High
3,6,0.5,Moderate
3,12,0.25,Low
42,55,0.7636363636363637,Very High
0,5,0.0,Low
2,2,1.0,Very High
1,9,0.1111111111111111,Low
67,74,0.9054054054054054,Very High
155,239,0.6485355648535565,High
12,14,0.8571428571428571,Very High
0,17,0.0,Low
9,16,0.5625,High
14,15,0.9333333333333333,Very High
2,6,0.3333333333333333,Moderate
14,18,0.7777777777777778,Very High
13,26,0.5,Moderate
0,17,0.0,Low
1,8,0.125,Low
35,49,0.7142857142857143,High
3,12,0.25,Low
27,37,0.7297297297297297,High
8,8,1.0,Very High
9,24,0.375,Moderate
46,58,0.7931034482758621,Very High
5,7,0.7142857142857143,High
125,147,0.8503401360544217,Very High
1,5,0.2,Low
4,12,0.3333333333333333,Moderate
24,38,0.631578947368421,High
0,11,0.0,Low
5,20,0.25,Low
58,87,0.6666666666666666,High
7,8,0.875,Very High
93,126,0.7380952380952381,High
6,15,0.4,Moderate
3,12,0.25,Low
61,104,0.5865384615384616,High
18,38,0.47368421052631576,Moderate
1,18,0.05555555555555555,Low
0,5,0.0,Low
14,27,0.5185185185185185,High
2,2,1.0,Very High
